City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Ipameri,BR,-17.7219,-48.1597,68.49,62,35,1.1,scattered clouds
80,Itarema,BR,-2.9248,-39.9167,77.41,80,7,8.16,clear sky
81,Upernavik,GL,72.7868,-56.1549,31.35,76,100,2.71,overcast clouds
82,Puerto Ayora,EC,-0.7393,-90.3518,75.63,83,6,7.16,clear sky
83,Nikolskoye,RU,59.7035,30.7861,37.99,93,90,8.95,overcast clouds
84,Homer,US,59.6425,-151.5483,55.4,33,1,5.75,clear sky
85,Aklavik,CA,68.2191,-135.0107,17.6,73,100,9.22,overcast clouds
86,Sahbuz,AZ,39.4072,45.5739,60.8,67,75,6.91,broken clouds
87,Avarua,CK,-21.2078,-159.775,82.4,74,75,9.22,broken clouds
88,Barrow,US,71.2906,-156.7887,21.2,79,1,20.71,clear sky
89,Butaritari,KI,3.0707,172.7902,83.08,73,19,11.45,few clouds
90,Husavik,IS,66.0449,-17.3389,37.4,87,90,10.36,overcast clouds
91,Lusambo,CD,-4.9667,23.45,69.48,99,100,1.48,overcast clouds
92,Bredasdorp,ZA,-34.5322,20.0403,51.8,93,100,1.14,overcast clouds
93,Yaan,NG,7.3833,8.5667,76.91,74,100,3.78,overcast clouds
94,Mezen,RU,65.8522,44.24,40.59,92,100,4.54,overcast clouds
95,Mantua,IT,45.1667,10.7833,57.99,60,100,3.0,overcast clouds
96,Lynn Haven,US,30.2455,-85.6483,69.01,72,1,5.75,clear sky
97,Burgersdorp,ZA,-30.9977,26.3286,56.68,37,100,1.74,overcast clouds
98,Tura,IN,25.5198,90.2201,82.33,27,3,4.72,clear sky
99,Dawlatabad,AF,36.4141,64.9053,66.49,30,8,1.95,clear sky
100,Zawiercie,PL,50.4877,19.4168,36.0,83,95,6.22,overcast clouds
101,Vanimo,PG,-2.6741,141.3028,81.41,70,100,1.36,overcast clouds
102,Maniitsoq,GL,65.4167,-52.9,40.37,77,100,3.62,overcast clouds
103,Straznice,CZ,48.901,17.3168,36.0,68,97,1.77,overcast clouds
104,Pochutla,MX,15.7432,-96.4661,84.2,65,90,9.22,overcast clouds
105,Tuktoyaktuk,CA,69.4541,-133.0374,14.0,85,90,17.27,light snow
106,Vao,NC,-22.6667,167.4833,74.46,69,62,15.43,broken clouds
107,Torbay,CA,47.6666,-52.7314,43.0,65,1,12.66,clear sky
108,Kaeo,NZ,-35.1,173.7833,64.99,75,17,1.01,few clouds
109,Kolokani,ML,13.5728,-8.0339,87.24,28,78,6.96,broken clouds
110,Carberry,CA,49.8689,-99.3602,42.01,75,90,9.22,overcast clouds
111,Zhangye,CN,38.9342,100.4517,42.64,21,100,5.21,overcast clouds
112,Carnarvon,AU,-24.8667,113.6333,78.8,31,0,6.91,clear sky
113,Saskylakh,RU,71.9167,114.0833,14.65,93,100,23.4,light snow
114,Bisira,PA,8.5196,-81.7115,60.67,92,73,5.68,broken clouds
115,Lardos,GR,36.0942,28.0157,62.6,82,0,18.41,clear sky
116,Ailigandi,PA,9.2333,-78.0167,80.08,81,76,11.23,broken clouds
117,Asau,RO,46.4333,26.4,42.01,61,32,1.72,scattered clouds
118,Flinders,AU,-34.5833,150.8552,70.0,62,0,1.99,clear sky
119,Kavieng,PG,-2.5744,150.7967,83.35,69,83,3.33,broken clouds
120,Nuuk,GL,64.1835,-51.7216,37.4,87,75,6.91,broken clouds
121,Fortuna,US,40.5982,-124.1573,54.0,81,75,10.36,broken clouds
122,Hobyo,SO,5.3505,48.5268,83.16,64,67,9.08,broken clouds
123,Berezniki,RU,59.4152,56.8124,35.01,100,100,3.0,overcast clouds
124,Portland,US,45.5234,-122.6762,57.99,58,75,10.36,broken clouds
125,Punta Arenas,CL,-53.15,-70.9167,48.2,87,75,3.44,light rain
126,Kharp,RU,66.8014,65.8081,33.22,98,100,7.18,light snow
