City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
411,Tezu,IN,86.14,clear sky,27.9167,96.1667,Circuit House
412,Mount Isa,AU,82.4,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
421,Sur,OM,83.17,clear sky,22.5667,59.5289,Sur Plaza Hotel
422,Bandarbeyla,SO,81.7,overcast clouds,9.4942,50.8122,JABIR HOTEL
423,Mayumba,GA,77.13,moderate rain,-3.432,10.6554,LIKWALE LODGE
425,Sumbe,AO,78.78,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
428,Tomatlan,MX,79.75,overcast clouds,19.9333,-105.25,Norma franco
429,Tiruvannamalai,IN,79.92,broken clouds,12.2167,79.0667,Hotel Aakash
431,San Patricio,US,75.0,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
435,Parnamirim,BR,80.6,few clouds,-5.9156,-35.2628,Pousada Joaci
436,Sorong,ID,82.92,broken clouds,-0.8833,131.25,waigo splash hotel
439,Kavaratti,IN,83.7,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
455,Katobu,ID,84.36,broken clouds,-4.9408,122.5276,La Ode Husein
456,Sola,VU,89.6,scattered clouds,-13.8833,167.55,Leumerus Bungalows
457,Mackay,AU,77.0,broken clouds,-21.15,149.2,International Lodge Motel
466,Tabuk,PH,79.63,few clouds,17.4189,121.4443,Golden Berries Hotel and Convention
467,Pasighat,IN,82.33,clear sky,28.0667,95.3333,Siang Guest House
469,Rio De Janeiro,BR,75.2,few clouds,-22.9028,-43.2075,Hotel Málaga
475,Padang,ID,80.6,overcast clouds,-0.9492,100.3543,Mercure Padang
476,Dhanaula,IN,76.55,clear sky,30.2833,75.5833,Mary Land Resort
477,Auki,SB,85.21,overcast clouds,-8.7676,160.7034,Auki Motel
478,San Nicolas,PH,84.2,broken clouds,18.1725,120.5953,NORTHVIEW Hotel
479,Tabou,CI,76.53,overcast clouds,4.423,-7.3528,hotêl doufoulougou
480,Bogo,PH,82.89,broken clouds,11.0517,124.0055,Acrige Apartelle 2 pax Twin @ heart of Bogo City
481,Kuching,MY,80.6,few clouds,1.55,110.3333,The Ranee Boutique Suites
483,Malakal,SS,75.25,overcast clouds,9.5334,31.6605,Nile Palace Hotel
487,Matara,LK,76.91,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
490,Morant Bay,JM,80.6,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
491,Mitsamiouli,KM,80.47,overcast clouds,-11.3847,43.2844,Foyer ADM
493,Ormara,PK,80.96,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
497,Namatanai,PG,83.86,overcast clouds,-3.6667,152.4333,Namatanai Hotel
498,Lumut,MY,77.0,few clouds,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
499,Gwadar,PK,80.1,overcast clouds,25.1216,62.3254,Sadaf Resort
502,Boyolangu,ID,80.13,broken clouds,-8.1181,111.8935,Yos ega cv
505,Manicore,BR,78.8,moderate rain,-5.8092,-61.3003,Hotel Durval
507,Yeppoon,AU,77.0,scattered clouds,-23.1333,150.7333,Villa Mar Colina
510,Coahuayana,MX,78.8,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
521,Namibe,AO,76.05,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
524,Kismayo,SO,82.26,overcast clouds,-0.3582,42.5454,Agan-Hotel
529,Niquero,CU,78.21,overcast clouds,20.0431,-77.5828,Islazul Niquero
534,Tema,GH,84.2,light rain,5.667,-0.0166,Beulah Royale
535,San Pedro,PH,82.99,broken clouds,14.35,121.0167,OYO 412 Viewfort Venue
538,Nikki,BJ,75.67,light rain,9.9401,3.2108,Hotel John
541,Kutum,SD,76.17,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
543,Buraydah,SA,78.8,scattered clouds,26.326,43.975,فندق راحة السلام
545,Badoc,PH,84.2,broken clouds,17.9265,120.4764,Triplets plus One Inn
547,Grand Gaube,MU,75.0,moderate rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
548,Turbo,CO,79.56,overcast clouds,8.0937,-76.7269,Hotel Plaza Manfortt
553,Cayenne,GF,81.0,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
556,Cockburn Town,TC,78.8,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
557,Ambagarh Chauki,IN,82.47,clear sky,20.7833,80.7167,गाँधी चौक शांति भवन सोनसाय टोला
559,Ngawen,ID,79.14,clear sky,-7.0032,111.3129,MURAI BATU BIRD FARM BASE'CAMP IBF
562,Skeldon,GY,75.65,overcast clouds,5.8833,-57.1333,Rits Hotel
564,Bo Phloi,TH,83.7,overcast clouds,14.3236,99.5161,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
565,Atar,MR,77.36,clear sky,20.5169,-13.0499,Oumou Elghoura
566,Ongole,IN,79.12,clear sky,15.5,80.05,Hotel Kolas
568,Makakilo City,US,82.4,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
585,Alofi,NU,86.0,overcast clouds,-19.0595,-169.9187,Taloa Heights
586,Prado,BR,76.51,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
596,Kieta,PG,86.14,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
602,Voh,NC,77.88,broken clouds,-20.9667,164.7,Le gîte du Koniambo
605,Ahuimanu,US,82.4,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
609,Cilegon,ID,84.2,few clouds,-6.0174,106.0538,Amaris Hotel Cilegon
610,Cabedelo,BR,77.0,few clouds,-6.9811,-34.8339,Hotel Pigalle
611,Sri Aman,MY,77.0,few clouds,1.2376,111.4621,Seri Simanggang Hotel
612,Natal,BR,80.6,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
617,Maragogi,BR,77.74,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
621,Punta,PH,84.63,broken clouds,8.9897,125.34,Vyjannex boarding house
624,Lazaro Cardenas,MX,79.36,overcast clouds,17.9583,-102.2,Hotel Quinta Antigua
625,Porto Novo,BJ,80.62,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
626,Daltenganj,IN,79.56,clear sky,24.0333,84.0667,Hotel Galaxy Inn
628,Roebourne,AU,82.31,clear sky,-20.7833,117.1333,Harding River Caravan Park
630,Reo,BF,89.67,few clouds,12.3167,-2.4667,Hôtel Deogratias
632,Gurun,MY,82.0,few clouds,5.8172,100.4738,The Jerai Hill Resort
636,Mandera,KE,79.23,light rain,3.9366,41.867,Kornesh Hotel and Lodging
638,Pringsewu,ID,78.28,clear sky,-5.3582,104.9744,Urban Style by Front One
650,Manggar,ID,84.7,clear sky,-2.8833,108.2667,Guest Hotel
652,Mozarlandia,BR,75.76,broken clouds,-14.7447,-50.5706,Hotel Santa Mônica
654,Tancitaro,MX,80.6,scattered clouds,19.3333,-102.3667,Hotel Tasquillo
656,Bhatkal,IN,81.48,clear sky,13.9667,74.5667,SPOT ON 61793 Chaya Residency SPOT
657,Kawalu,ID,77.05,broken clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
658,Sohag,EG,82.4,clear sky,26.557,31.6948,Civil Registry - Sohag 1
665,Wamba,NG,76.1,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
667,Vega De Alatorre,MX,78.44,clear sky,20.0333,-96.6333,El Polo Norte
670,Bacungan,PH,82.4,broken clouds,9.9106,118.7022,Sumayang Property
678,Port-Gentil,GA,82.26,clear sky,-0.7193,8.7815,Fengshui Residence
679,Orocue,CO,86.36,overcast clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
680,Candolim,IN,82.33,overcast clouds,15.5181,73.7626,Resort Terra Paraiso
688,Fare,PF,81.39,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
696,Noumea,NC,77.0,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
701,Portales,US,84.99,clear sky,34.1862,-103.3344,Holiday Inn Express & Suites Portales
703,Wewak,PG,84.33,scattered clouds,-3.5534,143.6268,In Wewak Boutique Hotel
